n,symmetric_dim,lie_params,theta_samples,target_oz,target_ox,zero_oz,zero_ox,zero_residual_sq,mean_vector_residual_sq,std_vector_residual_sq,median_vector_residual_sq,q05_vector_residual_sq,q95_vector_residual_sq,min_vector_residual_sq,max_vector_residual_sq,mean_oz_residual_sq,mean_ox_residual_sq,witness_observable,witness_beta_estimate,elapsed_sec
3,4,6,1000,1.2952601953960158e-16,1.0000000000000002,1.0,0.0,2.0,1.4249570287783426,0.9972773333537055,1.2445720690589483,0.12483078439291188,3.301972541346874,0.006695540880934472,3.996620459084595,0.21212364065088898,1.2128333881274538,Ox,1.2128333881274538,0.13744419999420643
4,5,6,1000,8.326672684688674e-17,0.9999999999999996,1.0,0.0,1.999999999999999,1.4855735461766002,1.0007756066478573,1.3531009771101286,0.12434916111846676,3.2654691268260776,0.0013236152052775434,3.930362672614109,0.24223794368903692,1.2433356024875635,Ox,1.2433356024875635,0.142622500017751
5,6,6,1000,-1.4988010832439614e-16,1.0,1.0,0.0,2.0000000000000004,1.45814046317923,1.0308965582576217,1.2786025156586496,0.11931437517643464,3.407900795218567,0.001919596219223829,3.983009102006514,0.23376048935336244,1.2243799738258674,Ox,1.2243799738258674,0.16108750001876615
6,7,6,1000,4.394632805807911e-17,0.9999999999999997,1.0,0.0,1.9999999999999993,1.509044450300723,1.0390245846577624,1.385711122658733,0.10093827636608099,3.4169062984238057,0.00679935757950049,3.987991515983334,0.2790366855823877,1.2300077647183352,Ox,1.2300077647183352,0.1808741000131704
8,9,6,1000,7.112366251504909e-17,1.0000000000000002,1.0,0.0,2.0,1.5121156501890263,1.0586878651264897,1.3526187247794637,0.0880098997255369,3.4377524351901516,0.00017872698713043825,3.965453468218651,0.2582842503689275,1.253831399820099,Ox,1.253831399820099,0.207483099977253
10,11,6,1000,2.393918396847994e-17,1.0,1.0,0.0,2.0,1.5572209614604942,1.0990425940486794,1.4092548417869635,0.09001653904017895,3.5160414281098205,0.000545989367384734,3.9777359634977993,0.27137315383988925,1.285847807620605,Ox,1.285847807620605,0.24586619998444803
12,13,6,1000,-1.7636355339097538e-17,1.0000000000000004,1.0,0.0,2.000000000000001,1.5951648283655264,1.0965494456682616,1.4177488147610986,0.09219604696070144,3.6226999106867566,0.000592259605728622,3.986151547683189,0.2958323513880935,1.299332476977433,Ox,1.299332476977433,0.28239530001883395
16,17,6,1000,2.7765740010995965e-17,0.9999999999999998,1.0,0.0,1.9999999999999996,1.5959187134091097,1.1050651751641827,1.4540273514403919,0.1059116226835812,3.5744803583472935,0.0003984117690179836,3.9908936338635645,0.2911248593878,1.30479385402131,Ox,1.30479385402131,0.39190240000607446
20,21,6,1000,-1.1044970819017175e-17,1.0,1.0,0.0,2.0,1.6282148097746862,1.118420018445868,1.5301872714303855,0.08955443922900497,3.602236894241704,0.0008986448371284893,3.9888353874550533,0.29500824339083886,1.3332065663838475,Ox,1.3332065663838475,0.43908129999181256
24,25,6,1000,-4.163368106079859e-17,1.0000000000000013,1.0,0.0,2.0000000000000027,1.619165304471076,1.132940046090252,1.4742692481159878,0.06383089163902445,3.548767652925719,0.00038679426384500854,3.9766215708465817,0.31185047593088444,1.3073148285401917,Ox,1.3073148285401917,0.4978807000152301
32,33,6,1000,2.3939183927120907e-16,1.0000000000000002,1.0,0.0,2.0,1.5803300721003137,1.1556518574163803,1.3975155879971244,0.0658880539159321,3.6301543515128136,0.0005840591795507155,3.9826477013946255,0.3075389482765294,1.2727911238237846,Ox,1.2727911238237846,0.6902302000089549
