n,seed,dim_restricted,mean_restricted,max_restricted,min_restricted,elapsed_time
1,82,1,0.0,0.0,0.0,0.07892040000297129
1,15,1,0.0,0.0,0.0,0.07814610000059474
1,4,1,0.0,0.0,0.0,0.08360220000031404
1,95,1,0.0,0.0,0.0,0.07987109999521635
1,36,1,0.0,0.0,0.0,0.07798500001081266
1,32,1,0.0,0.0,0.0,0.07717180000327062
1,29,1,0.0,0.0,0.0,0.07708509999793023
1,18,1,0.0,0.0,0.0,0.07933880000200588
1,95,1,0.0,0.0,0.0,0.07781090000935365
1,14,1,0.0,0.0,0.0,0.08065329999953974
1,87,1,0.0,0.0,0.0,0.07682460000796709
1,95,1,0.0,0.0,0.0,0.07816669999738224
1,70,1,0.0,0.0,0.0,0.07765800000925083
1,12,1,0.0,0.0,0.0,0.07953129999805242
1,76,1,0.0,0.0,0.0,0.07772830000612885
1,55,1,0.0,0.0,0.0,0.08060670000850223
1,5,1,0.0,0.0,0.0,0.07839369999419432
1,4,1,0.0,0.0,0.0,0.07830700000340585
1,12,1,0.0,0.0,0.0,0.07902019999164622
1,28,1,0.0,0.0,0.0,0.07774890000291634
1,30,1,0.0,0.0,0.0,0.07822969999688212
1,65,1,0.0,0.0,0.0,0.07786140000098385
1,78,1,0.0,0.0,0.0,0.08333209999545943
1,4,1,0.0,0.0,0.0,0.07829089999722783
1,72,1,0.0,0.0,0.0,0.0767381000041496
1,26,1,0.0,0.0,0.0,0.07852090000233147
1,92,1,0.0,0.0,0.0,0.07889790000626817
1,84,1,0.0,0.0,0.0,0.07714330000453629
1,90,1,0.0,0.0,0.0,0.07771439998759888
1,70,1,0.0,0.0,0.0,0.07762690000527073
1,54,1,0.0,0.0,0.0,0.07875159999821335
1,29,1,0.0,0.0,0.0,0.0765391000022646
1,58,1,0.0,0.0,0.0,0.07867329999862704
1,76,1,0.0,0.0,0.0,0.07820309999806341
1,36,1,0.0,0.0,0.0,0.07896210000035353
1,1,1,0.0,0.0,0.0,0.08129469999403227
1,98,1,0.0,0.0,0.0,0.07975129999977071
1,21,1,0.0,0.0,0.0,0.07969159999629483
1,90,1,0.0,0.0,0.0,0.0811942000000272
1,55,1,0.0,0.0,0.0,0.07920110000122804
1,44,1,0.0,0.0,0.0,0.07803720000083558
1,36,1,0.0,0.0,0.0,0.07706640000105835
1,20,1,0.0,0.0,0.0,0.07812330000160728
1,28,1,0.0,0.0,0.0,0.07675850001396611
1,98,1,0.0,0.0,0.0,0.07798480000928976
1,44,1,0.0,0.0,0.0,0.07834680000087246
1,14,1,0.0,0.0,0.0,0.07823970000026748
1,12,1,0.0,0.0,0.0,0.07715869999083225
1,49,1,0.0,0.0,0.0,0.07854159999988042
1,13,1,0.0,0.0,0.0,0.0773847999953432
1,46,1,0.0,0.0,0.0,0.0775660999934189
1,45,1,0.0,0.0,0.0,0.07634119999420363
1,78,1,0.0,0.0,0.0,0.07992709999962244
1,34,1,0.0,0.0,0.0,0.07997819999582134
1,6,1,0.0,0.0,0.0,0.07681880000745878
1,94,1,0.0,0.0,0.0,0.07679859999916516
1,59,1,0.0,0.0,0.0,0.07677240000339225
1,69,1,0.0,0.0,0.0,0.07799330000125337
1,16,1,0.0,0.0,0.0,0.07781930000055581
1,49,1,0.0,0.0,0.0,0.07822330000635702
1,11,1,0.0,0.0,0.0,0.07802369999990333
1,71,1,0.0,0.0,0.0,0.07659189999685623
1,38,1,0.0,0.0,0.0,0.07922200000029989
1,81,1,0.0,0.0,0.0,0.07926129999395926
1,80,1,0.0,0.0,0.0,0.07718009999371134
1,47,1,0.0,0.0,0.0,0.0769941999897128
1,74,1,0.0,0.0,0.0,0.07874129999254365
1,25,1,0.0,0.0,0.0,0.07633180000993889
1,91,1,0.0,0.0,0.0,0.07736070000100881
1,9,1,0.0,0.0,0.0,0.07837990000552963
1,6,1,0.0,0.0,0.0,0.07676429999992251
1,85,1,0.0,0.0,0.0,0.07826090000162367
1,30,1,0.0,0.0,0.0,0.07786759998998605
1,99,1,0.0,0.0,0.0,0.07698899999377318
1,38,1,0.0,0.0,0.0,0.07709120000072289
1,11,1,0.0,0.0,0.0,0.09289200000057463
1,30,1,0.0,0.0,0.0,0.08857019999413751
1,13,1,0.0,0.0,0.0,0.08634419999725651
1,49,1,0.0,0.0,0.0,0.08497509999142494
1,36,1,0.0,0.0,0.0,0.08707069999945816
1,59,1,0.0,0.0,0.0,0.08453399999416433
1,82,1,0.0,0.0,0.0,0.08669269998790696
1,47,1,0.0,0.0,0.0,0.10745670000324026
1,21,1,0.0,0.0,0.0,0.08621979999588802
1,48,1,0.0,0.0,0.0,0.08489699999336153
